,User_A,User_B,Type,Source
204,@BostonRobb,@BostonRobb,Tweet,Democratic
205,@CannabisFreedo1,@CannabisFreedo1,Tweet,Democratic
206,@CannabisFreedo1,@CannabisFreedo1,Tweet,Republican
207,@CannabisFreedo1,@CannabisFreedo1,Tweet,Public
208,@PaulChatfield23,@PaulChatfield23,Tweet,Democratic
209,@BBICONIC_,@JoeCanadian9,Retweet,Democratic
210,@BBICONIC_,@BBICONIC_,Tweet,Democratic
211,@BBICONIC_,@Serena_writes,Retweet,Democratic
212,@BBICONIC_,@Candic…,Retweet,Democratic
213,@JoeCanadian9,@BBICONIC_,Reply,Democratic
214,@JoeCanadian9,@Serena_writes,Reply,Democratic
215,@Blackbiz2020,@JohnMoo46078823,Retweet,Democratic
216,@Blackbiz2020,@JohnMoo46078823,Retweet,Public
217,@JohnMoo46078823,@JohnMoo46078823,Tweet,Democratic
218,@RM_Rowe,@CSASCambridge,Retweet,Democratic
219,@alison_ddaeng,@NORML,Mention,Democratic
220,@alison_ddaeng,@JoeBiden,Mention,Democratic
221,@alison_ddaeng,@POTUS,Mention,Democratic
222,@BeabahJ,@BeabahJ,Tweet,Democratic
223,@JoshGarciaJGG,@JoshGarciaJGG,Tweet,Democratic
224,@NationalMJNews,@NationalMJNews,Tweet,Democratic
225,@NationalMJNews,@NationalMJNews,Tweet,Public
226,@denisadams444,@JohnMoo46078823,Retweet,Democratic
227,@denisadams444,@JohnMoo46078823,Retweet,Public
228,@JohnMoo46078823,@JohnMoo46078823,Tweet,Democratic
229,@Taima_Express,@Taima_Express,Tweet,Democratic
230,@Taima_Express,@Taima_Express,Tweet,Republican
231,@Taima_Express,@Taima_Express,Tweet,Public
232,@v2_lawblog,@AnyPollApp,Retweet,Democratic
233,@v2_lawblog,@AnyPollApp,Retweet,Republican
234,@v2_lawblog,@AnyPollApp,Retweet,Public
235,@AnyPollApp,@AnyPollApp,Tweet,Democratic
236,@CSASCambridge,@CSASCambridge,Tweet,Democratic
237,@LizardKangz_95,@chrisbarbour70,Retweet,Democratic
238,@BBWSAREAWESOME1,@chrisbarbour70,Retweet,Democratic
239,@chrisbarbour70,@chrisbarbour70,Tweet,Democratic
240,@LiveHolyLife,@LiveHolyLife,Tweet,Democratic
241,@LiveHolyLife,@LiveHolyLife,Tweet,Republican
242,@LiveHolyLife,@LiveHolyLife,Tweet,Public
243,@ctmock,@NRA…,Mention,Democratic
244,@ctmock,@NRA…,Mention,Republican
245,@BadBernie2024,@SweetL0ve60,Reply,Democratic
246,@BadBernie2024,@SweetL0ve60,Reply,Republican
